X,Y,ID,Ottawa__Police_Division,Ottawa_Police_Sector,Report_Date,Incident_StartDate,Incident_EndDate,Weekday,Location_Type,Primary_Offence,ONS_Neighbourhood_2019,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Colour,Bicycle_Speed,X,Y,Census_Tract_Unique_ID,Census_Tract_Name,Object_ID,OBJECTID
362193.6729,5014083.423,23,West,16,20-Sep-18,20-Sep-18,20-Sep-18,5,,THEFT<BICYCLE,Old Barrhaven West,Stolen,300,DK,UNKNOWN,BMX,CHILD'S,Blue,,362193.6729,5014083.423,5050140.04,140.04,23,22
362524.6789,5016024.441,24,West,16,6-May-19,6-May-19,6-May-19,2,Bridge/ Streets,THEFT<BICYCLE,Old Barrhaven West,Stolen,1200,SPECIALIZED,UNKNOWN,MOUNTAIN,MEN'S,Black,9,362524.6789,5016024.441,5050140.06,140.06,24,23
362132.674,5014518.427,25,West,16,14-May-19,13-May-19,13-May-19,2,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,300,GT PERFORMER,BMX FREESTYLE 2,BMX,MEN'S,Grey,,362132.674,5014518.427,5050140.04,140.04,25,24
362989.6811,5015885.441,26,West,16,22-May-19,21-May-19,21-May-19,3,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Old Barrhaven West,Stolen,600,SPECIALIZED,UNKNOWN,HYBRID,MEN'S,Black,0,362989.6811,5015885.441,5050140.07,140.07,26,25
362989.6811,5015885.441,27,West,16,22-Jun-19,22-Jun-19,22-Jun-19,7,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Old Barrhaven West,Recovered,942.12,TREK,DUAL SPORT 2,HYBRID,MEN'S,Black,24,362989.6811,5015885.441,5050140.07,140.07,27,26
362989.6811,5015885.441,28,West,16,23-Jul-19,23-Jul-19,23-Jul-19,3,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Old Barrhaven West,Stolen,263,GT BIKES,AIR BMX,BMX,MEN'S,Black,1,362989.6811,5015885.441,5050140.07,140.07,28,27
362485.6781,5015756.439,29,West,16,11-Sep-19,10-Sep-19,10-Sep-19,3,High School,THEFT<BICYCLE,Old Barrhaven West,Stolen,250,KENT,SHOCKWAVE,MOUNTAIN,UNISEX,Blue,21,362485.6781,5015756.439,5050140.07,140.07,29,28
362485.6781,5015756.439,30,West,16,21-Oct-19,18-Oct-19,18-Oct-19,6,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,600,KINK,LAUNCH,BMX,MEN'S,Black,,362485.6781,5015756.439,5050140.07,140.07,30,29
362854.6789,5014920.432,31,West,16,22-Oct-19,18-Oct-19,18-Oct-19,6,,THEFT<BICYCLE,Old Barrhaven West,Stolen,500,UNKNOWN,UNKNOWN,BMX,UNISEX,N/A,,362854.6789,5014920.432,5050140.04,140.04,31,30
362485.6781,5015756.439,32,West,16,15-May-20,14-May-20,15-May-20,5,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,283,DIADORA,NOVARA,HYBRID,MEN'S,Black,,362485.6781,5015756.439,5050140.07,140.07,32,31
363311.6841,5016194.444,33,West,16,4-Jul-20,4-Jul-20,4-Jul-20,7,,THEFT<BICYCLE,Old Barrhaven West,Stolen,200,BMX,UNKNOWN,BMX,MEN'S,Black,1,363311.6841,5016194.444,5050140.03,140.03,33,32
362810.6781,5014649.429,34,West,16,7-Aug-20,27-Jul-20,6-Aug-20,2,,THEFT<BICYCLE,Old Barrhaven West,Stolen,400,PEUGEOT,UNKNOWN,MOUNTAIN,UNISEX,Yellow,,362810.6781,5014649.429,5050140.04,140.04,34,33
374579.723,5034369.589,35,East,32,26-Jun-15,26-Jun-15,26-Jun-15,6,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,,UNKNOWN,UNKNOWN,OTHER,MEN'S,Red,0,374579.723,5034369.589,5050120.03,120.03,35,34
375080.6876,5033542.63,36,East,32,21-Apr-16,20-Apr-16,20-Apr-16,4,Public Facilities/ Museurm/ Gallery/ Libraries,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,100,UNKNOWN,UNKNOWN,N/A,N/A,Black,,375080.6876,5033542.63,5050121.02,121.02,36,35
375080.6876,5033542.63,37,East,32,28-Jul-16,28-Jul-16,28-Jul-16,5,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,700,GIANT,UNKNOWN,REGULAR,N/A,White,,375080.6876,5033542.63,5050121.02,121.02,37,36
376034.729,5034621.586,38,East,32,22-Oct-16,21-Oct-16,21-Oct-16,6,Convenience Store / Chain Store/ Grocery Store/ Small Business,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,600,TREK,UNKNOWN,MOUNTAIN,CHILD'S,Yellow,10,376034.729,5034621.586,5050121.02,121.02,38,37
374721.7271,5033324.579,39,East,32,15-May-17,14-May-17,15-May-17,1,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,78,RALEIGH,SHOCK ENDURANCE,MOUNTAIN,WOMEN'S,"Black, Red",21,374721.7271,5033324.579,5050121.02,121.02,39,38
375924.7279,5034561.586,40,East,32,24-Jun-17,23-Jun-17,24-Jun-17,6,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,200,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,Black,18,375924.7279,5034561.586,5050121.02,121.02,40,39
375080.6876,5033542.63,41,East,32,5-Sep-17,5-Sep-17,5-Sep-17,3,Public Facilities/ Museurm/ Gallery/ Libraries,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,100,N/A,N/A,REGULAR,N/A,Green,,375080.6876,5033542.63,5050121.02,121.02,41,40
374721.7271,5033324.579,42,East,32,1-May-18,1-May-18,1-May-18,3,Commercial / Corporate Places,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,250,SCHWINN,HYDRA,HYBRID,MEN'S,Blue,27,374721.7271,5033324.579,5050121.02,121.02,42,41
374721.7271,5033324.579,43,East,32,29-May-18,25-May-18,28-May-18,6,Commercial / Corporate Places,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,300,GT,AGGRESSOR 1.0,MOUNTAIN,MEN'S,Black,24,374721.7271,5033324.579,5050121.02,121.02,43,42
374579.723,5034369.589,44,East,32,24-Jun-19,24-Jun-19,24-Jun-19,2,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,500,CANNONDALE,UNKNOWN,HYBRID,MEN'S,Black,24,374579.723,5034369.589,5050120.03,120.03,44,43
375080.6876,5033542.63,45,East,32,14-Sep-19,13-Sep-19,13-Sep-19,6,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,850,GHOST,KATO 1,MOUNTAIN,MEN'S,Black,24,375080.6876,5033542.63,5050121.02,121.02,45,44
375080.6876,5033542.63,46,East,32,21-Sep-19,17-Sep-19,17-Sep-19,3,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,700,GIANT,18 TALON 3L,MOUNTAIN,MEN'S,Black,24,375080.6876,5033542.63,5050121.02,121.02,46,45
375320.166,5034348.705,47,East,32,5-Oct-19,30-Sep-19,4-Oct-19,2,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Recovered,200,INFINITY,GRAVITY,MOUNTAIN,UNISEX,Red,30,375320.166,5034348.705,5050121.01,121.01,47,46
376034.729,5034621.586,48,East,32,19-Aug-20,19-Aug-20,19-Aug-20,4,Dwelling Building/ House,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,450,HARO,DEL SOL CRUISER,OTHER,WOMEN'S,Light Green ,7,376034.729,5034621.586,5050121.02,121.02,48,47
374500.7249,5033631.583,49,East,32,13-Oct-20,9-Oct-20,11-Oct-20,6,,THEFT<BICYCLE,Beacon Hill South - Cardinal Heights,Stolen,600,REGAL,ASSASSIN,HYBRID,MEN'S,Black,1,374500.7249,5033631.583,5050121.01,121.01,49,48
351771.6181,5021330.486,50,West,13,2-Jul-15,2-Jul-15,2-Jul-15,5,,THEFT<BICYCLE,Beaverbrook,Stolen,500,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,"Black, Purple",22,351771.6181,5021330.486,5050160.02,160.02,50,49
352073.1849,5021098.098,51,West,13,7-Jul-15,6-Jul-15,7-Jul-15,2,,THEFT<BICYCLE,Beaverbrook,Stolen,300,NORCO,UNKNOWN,OTHER,MEN'S,Green,0,352073.1849,5021098.098,5050160.02,160.02,51,50
352308.9079,5020329.16,52,West,13,22-Oct-15,22-Oct-15,22-Oct-15,5,High School,THEFT<BICYCLE,Beaverbrook,Stolen,400,GIANT,CYPRESS (DX?),REGULAR,MEN'S,"Silver, Aluminum, Stainless Steel",21,352308.9079,5020329.16,5050160.02,160.02,52,51
352020.6189,5020733.481,53,West,13,15-Jun-16,15-Jun-16,15-Jun-16,4,High School,THEFT<BICYCLE,Beaverbrook,Stolen,1200,BMX,CUSTOM,BMX,MEN'S,,1,352020.6189,5020733.481,5050160.02,160.02,53,52
352152.8279,5020141.646,54,West,13,24-Aug-16,24-Aug-16,24-Aug-16,4,Fitness Places/ Stadium /Arena,THEFT<BICYCLE,Beaverbrook,Stolen,600,TREK,ALPHA 1.5,RACER,MEN'S,White,0,352152.8279,5020141.646,5050160.06,160.06,54,53
