Date,Province,HA,HSDA,Cases_Reported,Cases_Reported_Smoothed,Year,Month,Day,Day of Week
2020-02-15,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,15,Saturday
2020-02-15,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,15,Saturday
2020-02-15,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,15,Saturday
2020-02-16,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,16,Sunday
2020-02-16,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,16,Sunday
2020-02-16,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,16,Sunday
2020-02-16,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,16,Sunday
2020-02-17,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,17,Monday
2020-02-17,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,17,Monday
2020-02-17,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,17,Monday
2020-02-17,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,17,Monday
2020-02-18,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,18,Tuesday
2020-02-18,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,18,Tuesday
2020-02-18,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,18,Tuesday
2020-02-18,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,18,Tuesday
2020-02-19,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,19,Wednesday
2020-02-19,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,19,Wednesday
2020-02-19,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,19,Wednesday
2020-02-19,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,19,Wednesday
2020-02-20,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,20,Thursday
2020-02-20,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,20,Thursday
2020-02-20,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,20,Thursday
2020-02-20,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,20,Thursday
2020-02-21,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,21,Friday
2020-02-21,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,21,Friday
2020-02-21,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,21,Friday
2020-02-21,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,21,Friday
2020-02-22,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,22,Saturday
2020-02-22,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,22,Saturday
2020-02-22,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,22,Saturday
2020-02-22,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,22,Saturday
2020-02-23,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,23,Sunday
2020-02-23,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,23,Sunday
2020-02-23,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,23,Sunday
2020-02-23,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,23,Sunday
2020-02-24,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,24,Monday
2020-02-24,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,24,Monday
2020-02-24,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,24,Monday
2020-02-24,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,24,Monday
2020-02-25,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,25,Tuesday
2020-02-25,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,25,Tuesday
2020-02-25,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,25,Tuesday
2020-02-25,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,25,Tuesday
2020-02-26,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,26,Wednesday
2020-02-26,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,26,Wednesday
2020-02-26,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,26,Wednesday
2020-02-26,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,26,Wednesday
2020-02-27,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,27,Thursday
2020-02-27,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,27,Thursday
2020-02-27,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,27,Thursday
2020-02-27,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,27,Thursday
2020-02-28,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,28,Friday
2020-02-28,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,28,Friday
2020-02-28,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,28,Friday
2020-02-28,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,28,Friday
2020-02-29,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,29,Saturday
2020-02-29,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,29,Saturday
2020-02-29,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,29,Saturday
2020-02-29,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,29,Saturday
2020-03-01,BC,Vancouver Coastal,Vancouver,0,0.0,2020,03,01,Sunday
2020-03-01,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,01,Sunday
2020-03-01,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,01,Sunday
2020-03-01,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,01,Sunday
2020-03-02,BC,Vancouver Coastal,Vancouver,0,0.0,2020,03,02,Monday
2020-03-02,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,02,Monday
2020-03-02,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,02,Monday
